,L0,L1,L2,L3,P1,P0,C1,S1,GA1,GB1,P2,C2,S2,GA2,GB2
L0,1.0000000000001248,0.0626085902272703,0.04862020088448505,0.07782679804260963,0.03924894775075637,0.018420576668989903,0.012919139407862962,0.01405610522738886,0.03777448327935598,0.049761484469146265,0.08016860040057484,0.03029310924272699,0.012623077379045571,0.04463640149661924,0.06627383306028854
L1,0.0626085902272703,1.0,0.03617781689490947,0.028687514483784905,0.08338206346865287,0.014406133275554681,0.02246455667461742,0.039147284099267265,0.04138385696123959,0.022137664381366856,0.03670196506601372,0.020389175132257957,0.05767098748769674,0.04088952816684991,0.02514371847154994
L2,0.04862020088448505,0.03617781689490947,0.9999999999999188,0.060804071866749146,0.050721101799273124,0.03246755095835361,0.014040734970371895,0.020948746235930214,0.037985861976425506,0.021855799277463065,0.057728002504017085,0.01415364534635433,0.015398022597655594,0.033157763365604574,0.0264795107615357
L3,0.07782679804260963,0.028687514483784905,0.060804071866749146,1.000000000000037,0.10918813776680159,0.025721115515044062,0.020299704390035655,0.020779822256649164,0.051853300938769206,0.02456013966141634,0.0752160860302083,0.021724792191846528,0.01468955006068597,0.05051201024430621,0.027581116690302495
P1,0.03924894775075637,0.08338206346865287,0.050721101799273124,0.10918813776680159,0.9999999999999893,0.14192146757724067,0.039600319731198215,0.05208978150933311,0.09302816632228501,0.06792935592985237,0.12792710804662405,0.027926744720587617,0.035601163121253034,0.10071344274222821,0.0641930761633944
P0,0.018420576668989903,0.014406133275554681,0.03246755095835361,0.025721115515044062,0.14192146757724067,1.0000000000000608,0.01572124318583731,0.019783398555708456,0.012668083646499339,0.010030462751307073,0.06176260309306998,0.014267993133860343,0.015866166390738,0.017875864499780087,0.01223419087002319
C1,0.012919139407862962,0.02246455667461742,0.014040734970371895,0.020299704390035655,0.039600319731198215,0.01572124318583731,0.9999999999999993,0.03337760250727767,0.012606667771556876,0.0139370364252609,0.0203177996145742,0.016807304406801147,0.015889620743531348,0.016843189785933806,0.014414568182728784
S1,0.01405610522738886,0.039147284099267265,0.020948746235930214,0.020779822256649164,0.05208978150933311,0.019783398555708456,0.03337760250727767,1.0000000000000056,0.022891259989964306,0.020912150468707664,0.030936360041395553,0.020214827876995682,0.17848092263581486,0.029171085643070076,0.018292427098312112
GA1,0.03777448327935598,0.04138385696123959,0.037985861976425506,0.051853300938769206,0.09302816632228501,0.012668083646499339,0.012606667771556876,0.022891259989964306,0.9999999999997836,0.08619172277590081,0.0595944152650645,0.02584482013582132,0.021788427864588376,0.06271934700712026,0.028097963205332723
GB1,0.049761484469146265,0.022137664381366856,0.021855799277463065,0.02456013966141634,0.06792935592985237,0.010030462751307073,0.0139370364252609,0.020912150468707664,0.08619172277590081,1.000000000000031,0.06241802522466966,0.016094601400089663,0.026114481263215316,0.04033133355973144,0.05999220394550176
P2,0.08016860040057484,0.03670196506601372,0.057728002504017085,0.0752160860302083,0.12792710804662405,0.06176260309306998,0.0203177996145742,0.030936360041395553,0.0595944152650645,0.06241802522466966,0.9999999999999775,0.016768570578018335,0.04159660974019611,0.0658335292005242,0.06483159595041338
C2,0.03029310924272699,0.020389175132257957,0.01415364534635433,0.021724792191846528,0.027926744720587617,0.014267993133860343,0.016807304406801147,0.020214827876995682,0.02584482013582132,0.016094601400089663,0.016768570578018335,1.000000000000002,0.03588718723576677,0.013956657749212868,0.012320139429213907
S2,0.012623077379045571,0.05767098748769674,0.015398022597655594,0.01468955006068597,0.035601163121253034,0.015866166390738,0.015889620743531348,0.17848092263581486,0.021788427864588376,0.026114481263215316,0.04159660974019611,0.03588718723576677,1.0000000000001616,0.023758838629923472,0.019178821906944428
GA2,0.04463640149661924,0.04088952816684991,0.033157763365604574,0.05051201024430621,0.10071344274222821,0.017875864499780087,0.016843189785933806,0.029171085643070076,0.06271934700712026,0.04033133355973144,0.0658335292005242,0.013956657749212868,0.023758838629923472,0.999999999999991,0.08196613877874304
GB2,0.06627383306028854,0.02514371847154994,0.0264795107615357,0.027581116690302495,0.0641930761633944,0.01223419087002319,0.014414568182728784,0.018292427098312112,0.028097963205332723,0.05999220394550176,0.06483159595041338,0.012320139429213907,0.019178821906944428,0.08196613877874304,0.9999999999999309
